date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01,-0.6,-6.1,4.9,0,0,,8,,,
2017-01-02,1.3,-1.2,4.9,5.5,0,,10,,,
2017-01-03,2.9,-6.3,5.3,0.4,0,245,16,,,
2017-01-04,-9.5,-12.5,-6.3,0,0,277,25,,,
2017-01-05,-12.3,-15.2,-9.6,0,0,288,19,,,
2017-01-06,-15.1,-17.3,-12.3,0,0,284,15,,,
2017-01-07,-12.4,-16.9,-7.3,0,0,286,18,,,
2017-01-08,-11,-15.8,-6.7,0,0,,16,,,
2017-01-09,-5.6,-7.2,1.5,0.5,0,,21,,,
2017-01-10,3.5,-3,11,5.1,0,218,36,,,
2017-01-11,1.2,-3,7,12.7,0,212,20,,,
2017-01-12,-3.1,-5.9,-0.9,2.5,0,,18,,,
2017-01-13,-4.6,-8,-1.9,0,0,143,14,,,
2017-01-14,-1.5,-4.3,1.7,0,0,,8,,,
2017-01-15,-3.1,-5.8,1.8,0,0,,4,,,
2017-01-16,0.5,0.3,3.7,16.1,0,,9,,,
2017-01-17,2.4,0.8,4.3,12.6,0,239,16,,,
2017-01-18,1.7,-0.2,2.2,0,0,,16,,,
2017-01-19,2.3,-0.2,5.6,18.3,0,,11,,,
2017-01-20,4.1,2.9,7.9,5.2,0,,9,,,
2017-01-21,9.2,4.4,15.5,0,0,,14,,,
2017-01-22,6.1,4.2,7.8,0.1,0,,9,,,
2017-01-23,4.7,3.6,6,0,0,292,18,,,
2017-01-24,3,2,3.8,0,0,,12,,,
2017-01-25,3.4,1.6,6.5,2.3,0,204,20,,,
2017-01-26,0.9,-0.2,1.6,0.4,0,,22,,,
2017-01-27,-2.5,-3.9,-0.1,0,0,263,24,,,
2017-01-28,-2.2,-3.5,-1.2,0,0,282,20,,,
2017-01-29,-3,-5.2,-1.7,0,0,303,18,,,
2017-01-30,-5.3,-8.5,3.7,0.1,0,,16,,,
2017-01-31,3.5,2.1,5.7,0.6,0,269,25,,,
2017-02-01,1.6,-5.2,3.8,0,0,,20,,,
2017-02-02,-6.7,-9.5,-3.9,0,0,289,20,,,
2017-02-03,-6,-9.5,-1.7,0,0,288,17,,,
2017-02-04,-5.6,-9.5,1,0,0,,20,,,
2017-02-05,0.6,-2.2,4.7,0,0,,14,,,
2017-02-06,1,-3.4,12.8,0,0,,11,,,
2017-02-07,6.5,0.9,11.4,13.6,0,207,19,,,
2017-02-08,-0.5,-6.7,0.9,0,0,293,18,,,
2017-02-09,-7.1,-10.1,-3.9,0,0,272,21,,,
2017-02-10,-3.3,-7.8,6.4,0,0,,22,,,
2017-02-11,5.8,2.9,10.8,0,0,,11,,,
2017-02-12,4.3,-0.1,9.2,0,0,,26,,,
